event_type_name,date
open_play,2025-10-02
open_play,2025-10-09
open_play,2025-10-16
open_play,2025-10-23
open_play,2025-10-30
open_play,2025-11-06
open_play,2025-11-13
open_play,2025-11-20
open_play,2025-11-27
open_play,2025-12-04
open_play,2025-12-11
open_play,2025-12-18
competitive,2025-10-05
competitive,2025-10-12
competitive,2025-10-19
competitive,2025-10-26
competitive,2025-11-02
competitive,2025-11-09
competitive,2025-11-16
competitive,2025-11-23
competitive,2025-11-30
competitive,2025-12-07
competitive,2025-12-14
open_play,2026-01-08
open_play,2026-01-15
open_play,2026-01-22
open_play,2026-01-29
open_play,2026-02-05
open_play,2026-02-12
open_play,2026-02-19
open_play,2026-02-26
competitive,2026-01-11
competitive,2026-01-18
competitive,2026-01-25
competitive,2026-02-01
competitive,2026-02-08
competitive,2026-02-15
competitive,2026-02-22
